Benchmark,Algorithms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std
,MOPSO-IVT,0.02580775,0.022488518,0.025311008,0.037468992,0.036446781,0.0177834,0.022421279,0.021459417,0.027439071,0.022186596,0.017596571,0.021302855,0.029861633,0.025449161,0.014877411,0.022611614,0.024554724,0.022403622,0.029714327,0.021481445,0.035327795,0.02157918,0.020989743,0.025860817,0.021492225,0.028666638,0.021170005,0.018658622,0.019449546,0.024502566,0.02421211,0.005410635
,RT-MOPSO,0.062018068,0.048326014,0.071928067,0.056419153,0.074041082,0.080029646,0.049111479,0.068146467,0.0490663,0.054162685,0.06874001,0.0603887,0.063578737,0.073174503,0.059366928,0.054171867,0.058339751,0.06955496,0.064087796,0.046331689,0.062389416,0.049241893,0.059789335,0.068788463,0.055361835,0.074032604,0.047938322,0.034634109,0.073494996,0.081428158,0.061269434,0.011182207
,RL-MOPSO,0.028734309,0.018843441,0.028999584,0.020844876,0.022931613,0.022149984,0.019756081,0.033029542,0.024008585,0.01502054,0.023054876,0.020179199,0.019975409,0.02346912,0.027318789,0.023903504,0.029185078,0.021391019,0.032086125,0.030688734,0.016678521,0.020557206,0.024309457,0.016254916,0.025686058,0.02542857,0.027116614,0.019481968,0.024483741,0.029652655,0.02384067,0.004725124
DTLZ6,MOPSO-Gbest,2.283707339,2.361071928,2.62203795,2.942609651,2.668410115,2.559757658,2.761673392,2.650160964,3.144443461,2.435371939,2.542325568,2.455804165,2.471227779,2.430685801,2.703041887,2.953434125,2.790065309,2.269311557,2.864611839,2.317084034,2.783938,2.717574869,2.906745527,3.136061676,2.211933187,2.684177561,2.943046375,2.130604727,2.473367401,2.883812114,2.636603263,0.270064449
,MOPSO-DPRT,0.032882512,0.037932571,0.039321052,0.030951569,0.039622313,0.02873188,0.029346966,0.035160075,0.021727719,0.031569128,0.036418489,0.028001317,0.019813552,0.033666754,0.030956926,0.025181005,0.023199392,0.026871052,0.045241163,0.029462566,0.035095733,0.036008147,0.023723507,0.029871753,0.026092116,0.029392316,0.027227527,0.03737577,0.038101252,0.031092393,0.031334617,0.005927482
,MOPSO-Von-Neumann,0.007416252,0.008634395,0.007503174,0.00731178,0.007100132,0.007076861,0.009757918,0.007454816,0.009042649,0.00505836,0.006522513,0.007889992,0.008277793,0.005851996,0.00561927,0.00602978,0.008097111,0.00554109,0.006585211,0.007800068,0.004852098,0.006856069,0.007649722,0.007497854,0.006152993,0.004987917,0.00640629,0.008044954,0.010547568,0.006926475,0.00714977,0.00135648
,MOPSO-IVT,0.047606024,0.027559813,0.038209152,0.040648582,0.02815366,0.041650179,0.023676051,0.036838762,0.045238957,0.054732097,0.033810648,0.033704714,0.050187593,0.029332623,0.033572672,0.035098402,0.023301051,0.042482838,0.043583794,0.040283767,0.031247667,0.043368365,0.041483668,0.021722713,0.036447757,0.050940565,0.037353599,0.0321556,0.03000145,0.025043387,0.036647872,0.008611683
,RT-MOPSO,0.006554961,0.005962364,0.004517749,0.005167632,0.006862483,0.005965486,0.005394127,0.00583957,0.006377234,0.005612371,0.007154911,0.007074932,0.007645878,0.006258048,0.007116604,0.006852058,0.006314124,0.007763062,0.007597257,0.008821574,0.005303704,0.006907996,0.008184876,0.005875442,0.006407174,0.006793932,0.005613186,0.007111887,0.007825412,0.00871509,0.006653037,0.001046794
,RL-MOPSO,0.006809246,0.006125704,0.006195362,0.004967157,0.005779107,0.007966702,0.00544386,0.006528735,0.00746152,0.005980276,0.005762557,0.00526219,0.007680548,0.006598627,0.007568676,0.008460298,0.006383189,0.006535764,0.006321378,0.006249421,0.006990901,0.005524299,0.006001475,0.010891292,0.006306589,0.00775744,0.006243187,0.005561868,0.006850285,0.006126514,0.006611139,0.001165821
DTLZ7,MOPSO-Gbest,8.761863321,9.265156931,8.153076322,9.045377905,8.56766256,8.31480333,6.921977549,8.206768378,7.410000461,7.244454322,9.17051004,8.469522106,6.626476193,8.220526013,8.794794542,6.976209065,7.760582927,8.884824234,7.878347698,8.07411259,7.949112159,8.271805552,7.95586096,9.059243947,7.828105861,7.739272444,8.852622587,9.298507162,8.474574283,8.328425366,8.216819227,0.70813965
