Benchmark,Omega,C1,C2,Age_Threshold,Penalty_Value,Norm_Neg_HV
WFG1,0.62 ,2.04 ,1.96 ,4.24 ,10,-0.491524306
DTLZ2,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.981621048
WFG4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.935173323
WFG1,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.513435647
Viennet3,0.53 ,1.49 ,1.04 ,3.21 ,1,-1.005816147
DTLZ4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.975304803
WFG4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.93431623
Viennet3,0.53 ,1.49 ,1.04 ,3.21 ,1,-1.005868024
WFG8,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.862944357
WFG8,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.864776738
DTLZ4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.973253673
DTLZ2,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.97788679
WFG8,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.860781817
DTLZ2,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.978631254
Viennet3,0.53 ,1.49 ,1.04 ,3.21 ,1,-1.005786682
WFG1,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.499188004
WFG1,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.513447794
DTLZ2,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.979259929
DTLZ7,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.986945991
WFG1,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.501420339
DTLZ2,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.981728224
WFG4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.932317623
Viennet3,0.53 ,1.49 ,1.04 ,3.21 ,1,-1.005770299
DTLZ7,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.976869038
DTLZ4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.970446418
DTLZ2,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.982290857
Viennet3,0.53 ,1.49 ,1.04 ,3.21 ,1,-1.005758161
WFG8,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.868627372
DTLZ4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.979414603
DTLZ7,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.987958782
DTLZ7,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.987306396
WFG4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.934391059
WFG1,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.498252357
WFG1,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.501176409
DTLZ4,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.966115791
DTLZ4,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.968170309
DTLZ7,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.991132618
DTLZ7,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.988634293
WFG8,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.835724996
DTLZ2,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.969357662
DTLZ7,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.991482496
DTLZ2,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.969210993
DTLZ4,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.968122716
DTLZ2,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.971787624
DTLZ2,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.963986223
WFG8,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.830425979
Viennet3,0.50 ,1.50 ,1.50 ,3.00 ,2,-1.005661796
DTLZ4,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.963512625
DTLZ7,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.875545051
WFG8,0.80 ,1.72 ,2.16 ,2.71 ,2,-0.767506709
WFG4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.937365541
DTLZ2,0.36 ,0.80 ,0.84 ,4.68 ,5,-0.986958797
DTLZ4,0.36 ,0.80 ,0.84 ,4.68 ,5,-0.766841284
WFG4,0.36 ,0.80 ,0.84 ,4.68 ,5,-0.923168486
WFG8,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.855825565
DTLZ2,0.45 ,2.07 ,1.23 ,4.63 ,1,-0.973867504
DTLZ4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.973289062
Viennet3,0.71 ,1.40 ,1.77 ,2.67 ,10,-1.005654951
WFG1,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.499009647
DTLZ2,0.27 ,1.63 ,0.90 ,3.16 ,5,-0.988214948
WFG1,0.27 ,1.63 ,0.90 ,3.16 ,5,-0.529929859
DTLZ2,0.27 ,1.63 ,0.90 ,3.16 ,5,-0.98389468
WFG4,0.27 ,1.63 ,0.90 ,3.16 ,5,-0.935358817
DTLZ7,0.27 ,1.63 ,0.90 ,3.16 ,5,-0.848035251
WFG8,0.27 ,1.63 ,0.90 ,3.16 ,5,-0.82069813
DTLZ4,0.27 ,1.63 ,0.90 ,3.16 ,5,-0.933979364
DTLZ4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.975314918
WFG4,0.88 ,0.83 ,2.10 ,4.20 ,2,-0.850208249
WFG8,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.86800292
WFG4,0.73 ,1.91 ,1.64 ,3.73 ,2,-0.878084415
DTLZ7,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.98571575
WFG8,0.29 ,0.61 ,1.35 ,2.88 ,5,-0.875513925
DTLZ7,0.29 ,0.61 ,1.35 ,2.88 ,5,-0.985869135
WFG4,0.29 ,0.61 ,1.35 ,2.88 ,5,-0.939130814
DTLZ2,0.29 ,0.61 ,1.35 ,2.88 ,5,-0.981744962
DTLZ7,0.29 ,0.61 ,1.35 ,2.88 ,5,-0.934375731
WFG4,0.29 ,0.61 ,1.35 ,2.88 ,5,-0.940080665
DTLZ4,0.29 ,0.61 ,1.35 ,2.88 ,5,-0.990122757
DTLZ2,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.979783851
Viennet3,0.56 ,2.35 ,2.48 ,2.20 ,10,-1.005504623
WFG1,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.50080485
DTLZ2,0.47 ,1.18 ,0.53 ,4.35 ,1,-0.983518736
DTLZ4,0.47 ,1.18 ,0.53 ,4.35 ,1,-0.952128832
WFG1,0.47 ,1.18 ,0.53 ,4.35 ,1,-0.503678818
WFG4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.934153505
WFG1,0.37 ,1.57 ,2.34 ,4.53 ,10,-0.512909198
DTLZ7,0.37 ,1.57 ,2.34 ,4.53 ,10,-0.983562222
DTLZ2,0.37 ,1.57 ,2.34 ,4.53 ,10,-0.953793371
Viennet3,0.53 ,1.49 ,1.04 ,3.21 ,1,-1.005792831
WFG8,0.81 ,0.90 ,0.67 ,2.18 ,1,-0.843585883
DTLZ4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.976509615
WFG8,0.55 ,2.14 ,1.54 ,2.99 ,2,-0.816981403
WFG4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.930535773
WFG8,0.64 ,1.34 ,1.46 ,3.65 ,5,-0.838367967
Viennet3,0.53 ,1.49 ,1.04 ,3.21 ,1,-1.005715219
WFG4,0.66 ,2.42 ,0.79 ,3.93 ,5,-0.918167271
DTLZ2,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.977575491
Viennet3,0.39 ,1.12 ,2.21 ,3.46 ,2,-1.005751729
WFG8,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.865521116
WFG4,0.83 ,1.85 ,1.08 ,2.47 ,1,-0.907086717
WFG1,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.494888131
DTLZ2,0.21 ,0.68 ,1.91 ,4.99 ,10,-0.972587748
DTLZ7,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.986669007
DTLZ7,0.59 ,1.79 ,0.72 ,4.86 ,2,-0.868546205
DTLZ2,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.98093754
DTLZ4,0.50 ,0.75 ,2.27 ,2.50 ,5,-0.930139947
WFG8,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.867988011
WFG1,0.39 ,1.52 ,2.18 ,2.03 ,2,-0.480666921
DTLZ7,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.991513146
DTLZ7,0.39 ,1.11 ,2.08 ,3.49 ,2,-0.99069154
DTLZ2,0.39 ,1.11 ,2.08 ,3.49 ,2,-0.956880761
DTLZ4,0.39 ,1.11 ,2.08 ,3.49 ,2,-0.953504183
DTLZ4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.973937289
WFG1,0.40 ,1.34 ,2.10 ,2.08 ,2,-0.496253908
Viennet3,0.40 ,1.34 ,2.10 ,2.08 ,2,-1.005776178
DTLZ4,0.40 ,1.34 ,2.10 ,2.08 ,2,-0.92284178
Viennet3,0.53 ,1.49 ,1.04 ,3.21 ,1,-1.005749358
DTLZ4,0.72 ,1.35 ,1.82 ,2.41 ,10,-0.910273788
WFG1,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.496068484
