Benchmark,Omega,C1,C2,PM_Prob,Eta_m,Norm_Neg_HV
WFG8,0.72 ,1.13 ,0.67 ,0.69 ,10,-0.849652253
WFG8,0.72 ,1.13 ,0.67 ,0.69 ,10,-0.856093188
DTLZ2,0.72 ,1.13 ,0.67 ,0.69 ,10,-0.977671757
Viennet3,0.72 ,1.13 ,0.67 ,0.69 ,10,-1.005706913
WFG4,0.72 ,1.13 ,0.67 ,0.69 ,10,-0.932593581
WFG4,0.72 ,1.13 ,0.67 ,0.69 ,10,-0.937527117
DTLZ2,0.72 ,1.13 ,0.67 ,0.69 ,10,-0.978186469
DTLZ4,0.72 ,1.13 ,0.67 ,0.69 ,10,-0.975464317
WFG1,0.72 ,1.13 ,0.67 ,0.69 ,10,-0.519091097
DTLZ7,0.72 ,1.13 ,0.67 ,0.69 ,10,-0.866913584
Viennet3,0.72 ,1.13 ,0.67 ,0.69 ,10,-1.005765893
WFG1,0.72 ,1.13 ,0.67 ,0.69 ,10,-0.510940688
DTLZ4,0.72 ,1.13 ,0.67 ,0.69 ,10,-0.96013343
WFG1,0.72 ,1.13 ,0.67 ,0.69 ,10,-0.511031812
WFG8,0.29 ,2.24 ,1.04 ,0.62 ,20,-0.872008925
WFG1,0.35 ,1.94 ,2.24 ,0.53 ,50,-2.283786088
DTLZ4,0.35 ,1.94 ,2.24 ,0.53 ,50,-0.899352564
DTLZ7,0.35 ,1.94 ,2.24 ,0.53 ,50,-0.893784475
DTLZ4,0.29 ,2.24 ,1.04 ,0.62 ,20,-6.363875436
DTLZ7,0.29 ,2.24 ,1.04 ,0.62 ,20,-54.53091279
WFG8,0.42 ,0.51 ,1.82 ,0.89 ,20,-0.845438786
Viennet3,0.29 ,2.24 ,1.04 ,0.62 ,20,-1.00576248
Viennet3,0.47 ,0.91 ,1.09 ,0.97 ,50,-1.005820481
Viennet3,0.47 ,0.91 ,1.09 ,0.97 ,50,-1.005768296
WFG8,0.47 ,0.91 ,1.09 ,0.97 ,50,-0.878831963
WFG1,0.47 ,0.91 ,1.09 ,0.97 ,50,-0.531763369
DTLZ4,0.47 ,0.91 ,1.09 ,0.97 ,50,-0.987132473
DTLZ2,0.47 ,0.91 ,1.09 ,0.97 ,50,-0.988650689
DTLZ4,0.47 ,0.91 ,1.09 ,0.97 ,50,-0.985670013
WFG1,0.29 ,2.24 ,1.04 ,0.62 ,20,-0.495657313
DTLZ2,0.29 ,2.24 ,1.04 ,0.62 ,20,-0.981801683
Viennet3,0.21 ,1.52 ,0.98 ,0.41 ,50,-1.005839893
DTLZ2,0.21 ,1.52 ,0.98 ,0.41 ,50,-0.984084348
DTLZ7,0.21 ,1.52 ,0.98 ,0.41 ,50,-0.541784188
WFG4,0.29 ,2.24 ,1.04 ,0.62 ,20,-0.932266755
DTLZ2,0.59 ,1.28 ,2.44 ,0.77 ,10,-4.119288274
DTLZ7,0.59 ,1.28 ,2.44 ,0.77 ,10,-15.77934493
WFG8,0.29 ,2.24 ,1.04 ,0.62 ,20,-0.869891178
Viennet3,0.86 ,1.47 ,1.50 ,0.60 ,50,-1.005574461
Viennet3,0.29 ,2.24 ,1.04 ,0.62 ,20,-1.00575407
DTLZ4,0.29 ,2.24 ,1.04 ,0.62 ,20,-0.983426799
WFG8,0.61 ,2.11 ,0.57 ,0.83 ,50,-0.839085819
DTLZ7,0.29 ,2.24 ,1.04 ,0.62 ,20,-0.885971409
Viennet3,0.28 ,0.84 ,2.03 ,0.40 ,20,-1.00578585
DTLZ2,0.28 ,0.84 ,2.03 ,0.40 ,20,-0.970026535
DTLZ4,0.28 ,0.84 ,2.03 ,0.40 ,20,-0.972737981
Viennet3,0.29 ,2.24 ,1.04 ,0.62 ,20,-1.00573696
Viennet3,0.33 ,0.74 ,0.76 ,0.27 ,10,-1.005581011
DTLZ7,0.29 ,2.24 ,1.04 ,0.62 ,20,-0.897499635
WFG1,0.66 ,2.44 ,2.34 ,0.91 ,20,-3.223407648
DTLZ7,0.66 ,2.44 ,2.34 ,0.91 ,20,-13.09044277
Viennet3,0.66 ,2.44 ,2.34 ,0.91 ,20,-1.004454796
Viennet3,0.66 ,2.44 ,2.34 ,0.91 ,20,-1.003965466
WFG8,0.66 ,2.44 ,2.34 ,0.91 ,20,-5.776457505
DTLZ2,0.66 ,2.44 ,2.34 ,0.91 ,20,-4.100581077
DTLZ7,0.66 ,2.44 ,2.34 ,0.91 ,20,-10.83839945
WFG1,0.66 ,2.44 ,2.34 ,0.91 ,20,-1.592272389
Viennet3,0.66 ,2.44 ,2.34 ,0.91 ,20,-1.004625865
WFG8,0.66 ,2.44 ,2.34 ,0.91 ,20,-0.983861195
DTLZ7,0.66 ,2.44 ,2.34 ,0.91 ,20,-17.13754195
