Benchmark_Instance,Omega,C1,C2,Norm_Neg_HV
WFG8,0.35,0.74,1.57,-1.013389775
DTLZ7,0.63,1.14,2.21,-1.045638474
Viennet3,0.63,1.14,2.21,-1.037404122
DTLZ4,0.63,1.14,2.21,-0.582772707
WFG4,0.35,0.74,1.57,-1.018866538
WFG1,0.27,1.61,1.09,-1.764119609
DTLZ4,0.27,1.61,1.09,-1.036061691
DTLZ7,0.27,1.61,1.09,0
Viennet3,0.27,1.61,1.09,-1.038382485
DTLZ7,0.27,1.61,1.09,0
DTLZ2,0.27,1.61,1.09,-1.016806012
DTLZ4,0.27,1.61,1.09,-1.0484062
Viennet3,0.35,0.74,1.57,-1.039058046
DTLZ2,0.44,2.3,1.46,-0.953194106
DTLZ7,0.35,0.74,1.57,-0.783107129
DTLZ7,0.27,0.7,0.82,0
DTLZ4,0.35,0.74,1.57,-0.994464894
DTLZ4,0.7,2.25,0.53,-0.653830544
DTLZ2,0.35,0.74,1.57,-0.994035014
DTLZ7,0.27,1.46,1.39,-0.743123882
WFG1,0.35,0.74,1.57,-0.727036504
WFG1,0.76,2.13,0.78,-0.79974285
Viennet3,0.76,2.13,0.78,-1.032265583
