Benchmark,Penalty_Value,T_Size,Delta_Prob,Norm_Neg_HV
DTLZ2,5,2,0.90 ,-0.976050757
DTLZ4,5,2,0.90 ,-0.979162055
WFG8,5,2,0.90 ,-0.885956438
DTLZ4,5,2,0.90 ,-0.982613301
DTLZ2,5,2,0.90 ,-0.975211927
Viennet3,5,2,0.90 ,-0.998445566
WFG4,5,2,0.90 ,-0.959836051
DTLZ7,5,2,0.90 ,-0.923455011
WFG8,5,2,0.90 ,-0.876163985
WFG4,1,9,0.51 ,-0.963604049
WFG1,10,8,0.83 ,-0.766417127
Viennet3,1,9,0.51 ,-0.997741001
