Benchmark_Instance,Omega,C1,C2,Rows,Cols,Norm_Neg_HV
DTLZ4,0.48 ,2.43 ,2.11 ,20,10,-0.777199443
DTLZ4,0.64 ,2.46 ,0.51 ,25,8,-0.990757611
Viennet3,0.84 ,1.13 ,0.58 ,8,25,-1.00524427
WFG4,0.84 ,1.13 ,0.58 ,8,25,-0.938730974
WFG4,0.84 ,1.13 ,0.58 ,8,25,-0.925895394
WFG1,0.64 ,2.46 ,0.51 ,25,8,-0.478040264
DTLZ2,0.64 ,2.46 ,0.51 ,25,8,-0.990960951
Viennet3,0.29 ,2.38 ,1.10 ,10,20,-1.005198841
WFG8,0.64 ,2.46 ,0.51 ,25,8,-0.867607192
WFG8,0.74 ,1.71 ,2.02 ,8,25,-0.800931879
DTLZ4,0.64 ,2.46 ,0.51 ,25,8,-0.992529408
DTLZ4,0.41 ,0.97 ,0.55 ,20,10,-0.322205451
Viennet3,0.64 ,2.46 ,0.51 ,25,8,-1.005070341
WFG4,0.54 ,0.70 ,2.46 ,10,20,-0.881004075
WFG8,0.64 ,2.46 ,0.51 ,25,8,-0.861810768
WFG4,0.64 ,2.46 ,0.51 ,25,8,-0.939658624
DTLZ7,0.25 ,2.31 ,1.11 ,10,20,-0.540033636
DTLZ7,0.64 ,2.46 ,0.51 ,25,8,-0.846934085
DTLZ7,0.29 ,2.40 ,1.16 ,10,20,-0.647957282
DTLZ2,0.64 ,2.46 ,0.51 ,25,8,-0.991291521
WFG8,0.29 ,1.52 ,0.77 ,8,25,-0.805730338
WFG1,0.64 ,2.46 ,0.51 ,25,8,-0.484943648
DTLZ7,0.64 ,2.46 ,0.51 ,25,8,-0.774448516
WFG1,0.87 ,0.69 ,1.77 ,10,20,-0.493991299
WFG4,0.64 ,2.46 ,0.51 ,25,8,-0.944671417
DTLZ4,0.35 ,1.47 ,0.54 ,8,25,-0.721832453
WFG8,0.64 ,2.46 ,0.51 ,25,8,-0.86126625
DTLZ2,0.29 ,2.36 ,1.08 ,10,20,-0.984623369
WFG1,0.64 ,2.46 ,0.51 ,25,8,-0.521396201
WFG8,0.32 ,1.58 ,0.75 ,8,25,-0.827042819
Viennet3,0.64 ,2.46 ,0.51 ,25,8,-1.004896431
WFG4,0.33 ,1.57 ,2.45 ,8,25,-0.889666381
DTLZ4,0.64 ,2.46 ,0.51 ,25,8,-0.724138782
DTLZ7,0.29 ,2.27 ,1.10 ,10,20,-0.933347687
DTLZ4,0.29 ,2.27 ,1.10 ,10,20,-0.725043009
WFG1,0.29 ,2.27 ,1.10 ,10,20,-0.516088579
DTLZ2,0.64 ,2.46 ,0.51 ,25,8,-0.987448701
DTLZ7,0.29 ,2.38 ,1.10 ,10,20,-0.540243524
DTLZ2,0.64 ,2.46 ,0.51 ,25,8,-0.992760212
WFG1,0.76 ,2.37 ,1.18 ,10,20,-0.509838613
WFG4,0.64 ,2.46 ,0.51 ,25,8,-0.941309201
DTLZ4,0.82 ,2.49 ,0.76 ,8,25,-0.978622334
WFG1,0.64 ,2.46 ,0.51 ,25,8,-0.513518626
WFG4,0.29 ,2.39 ,1.10 ,10,20,-0.934797728
WFG8,0.64 ,2.46 ,0.51 ,25,8,-0.865944636
WFG4,0.82 ,2.11 ,2.10 ,10,20,-0.883401319
DTLZ4,0.64 ,2.46 ,0.51 ,25,8,-0.986690267
DTLZ4,0.78 ,2.28 ,1.88 ,20,10,-0.731768086
