Benchmark_Instance,Omega,C1,C2,EPnum,MPnum,Norm_Neg_HV
WFG8,0.437450664,0.508884223,1.268788852,4,3,-0.869714219
WFG4,0.498451598,2.234256208,1.642144715,2,3,-0.893325024
WFG4,0.437450664,0.508884223,1.268788852,4,3,-0.927612011
DTLZ2,0.437450664,0.508884223,1.268788852,4,3,-0.968856061
WFG1,0.221541355,1.397746786,0.598126069,3,4,-0.596148602
DTLZ4,0.437450664,0.508884223,1.268788852,4,3,-0.913354304
WFG4,0.437450664,0.508884223,1.268788852,4,3,-0.940435383
WFG1,0.631566469,0.95405061,1.314205708,2,3,-0.544089779
WFG8,0.437450664,0.508884223,1.268788852,4,3,-0.845777758
Viennet3,0.692540886,1.233981114,1.138992231,2,2,-1.003697584
Viennet3,0.692540886,1.233981114,1.138992231,2,2,-1.004859252
DTLZ2,0.437450664,0.508884223,1.268788852,4,3,-0.98195648
WFG8,0.288637809,0.792104531,1.647274198,4,2,-0.851694569
WFG4,0.288637809,0.792104531,1.647274198,4,2,-0.930014699
WFG1,0.288637809,0.792104531,1.647274198,4,2,-0.563345639
DTLZ4,0.288637809,0.792104531,1.647274198,4,2,-0.915337364
DTLZ4,0.288637809,0.792104531,1.647274198,4,2,-0.782199362
WFG4,0.288637809,0.792104531,1.647274198,4,2,-0.933468208
Viennet3,0.288637809,0.792104531,1.647274198,4,2,-0.999296043
WFG1,0.288637809,0.792104531,1.647274198,4,2,-0.559660888
Viennet3,0.288637809,0.792104531,1.647274198,4,2,-0.998510225
DTLZ2,0.288637809,0.792104531,1.647274198,4,2,-0.977241163
WFG1,0.288637809,0.792104531,1.647274198,4,2,-0.537068076
DTLZ2,0.288637809,0.792104531,1.647274198,4,2,-0.988739357
DTLZ7,0.288637809,0.792104531,1.647274198,4,2,-0.540243552
WFG4,0.288637809,0.792104531,1.647274198,4,2,-0.926047024
WFG8,0.288637809,0.792104531,1.647274198,4,2,-0.864381917
DTLZ4,0.437450664,0.508884223,1.268788852,4,3,-0.748864924
WFG4,0.688082713,1.248360679,1.572023981,2,2,-0.896146853
DTLZ7,0.437450664,0.508884223,1.268788852,4,3,-0.540243552
DTLZ2,0.248814234,1.505023471,1.552805758,2,2,-0.982012548
DTLZ7,0.248814234,1.505023471,1.552805758,2,2,-0.953100001
DTLZ7,0.248814234,1.505023471,1.552805758,2,2,-0.761108189
WFG1,0.437450664,0.508884223,1.268788852,4,3,-0.571664564
WFG4,0.688967971,2.44987605,1.154000062,3,3,-0.906040457
Viennet3,0.437450664,0.508884223,1.268788852,4,3,-0.997659538
DTLZ4,0.241196048,0.624142542,1.982148854,2,4,-0.98837205
WFG8,0.241196048,0.624142542,1.982148854,2,4,-0.873473504
WFG1,0.241196048,0.624142542,1.982148854,2,4,-0.569225048
WFG4,0.241196048,0.624142542,1.982148854,2,4,-0.935186103
WFG8,0.241196048,0.624142542,1.982148854,2,4,-0.859138318
DTLZ2,0.241196048,0.624142542,1.982148854,2,4,-0.988321248
Viennet3,0.241196048,0.624142542,1.982148854,2,4,-1.000290207
Viennet3,0.241196048,0.624142542,1.982148854,2,4,-1.000867004
DTLZ4,0.241196048,0.624142542,1.982148854,2,4,-0.987691041
DTLZ7,0.241196048,0.624142542,1.982148854,2,4,-0.540243552
DTLZ2,0.241196048,0.624142542,1.982148854,2,4,-0.982123721
DTLZ7,0.241196048,0.624142542,1.982148854,2,4,-0.540243552
WFG1,0.241196048,0.624142542,1.982148854,2,4,-0.551942713
DTLZ2,0.241196048,0.624142542,1.982148854,2,4,-0.9893992
WFG1,0.241196048,0.624142542,1.982148854,2,4,-0.563660675
WFG4,0.241196048,0.624142542,1.982148854,2,4,-0.932174301
DTLZ7,0.241196048,0.624142542,1.982148854,2,4,-0.958751532
Viennet3,0.241196048,0.624142542,1.982148854,2,4,-1.00039121
DTLZ7,0.437450664,0.508884223,1.268788852,4,3,-0.540243552
DTLZ2,0.248814234,1.505023471,1.552805758,2,2,-0.982012548
DTLZ7,0.248814234,1.505023471,1.552805758,2,2,-0.953100001
DTLZ7,0.248814234,1.505023471,1.552805758,2,2,-0.761108189
