Algorithm,"DTLZ: DTLZ2, 4-7",,WFG: WFG1-9,,Viennet: Viennet 1-3,,Total,
,Friedman test,Rank,Friedman test,Rank,Friedman test,Rank,Friedman test,Rank
MOPSOCD,4.6,5,5.8889,6,2.3333,2,4.8824,6
SMPSO,5.6,7,4.7778,5,3.6667,4,4.8235,5
dMOPSO,5.4,6,6.5556,7,6,6,6.1176,7
MOEADD,3.8,3,2.5556,2,6.6667,7,3.6471,3
RVEA,4.2,4,3,3,5.3333,5,3.7647,4
PESAII,3.4,2,3.6667,4,3,3,3.4706,2
RLT-MOPSO,1,1,1.5556,1,1,1,1.2941,1
