Algorithm,Ranking,p_value,Holm,Hypothesis
PESAII,3.411764706,0.039008342,0.042640562,Rejected
RVEA,3.588235294,0.021320281,0.042640562,Rejected
MOEADD,3.823529412,0.008797675,0.026393026,Rejected
SMPSO,4.823529412,7.20E-05,0.00028819,Rejected
MOPSOCD,4.941176471,3.66E-05,0.000182809,Rejected
dMOPSO,5.529411765,8.56E-07,5.14E-06,Rejected
RLT-MOPSO,1.882352941,,,Control
