Algorithm,Ranking,p_value,Holm,Hypothesis
PESAII,3.470588235,0.003310073,0.003310073,Rejected
MOEADD,3.647058824,0.001495596,0.002991192,Rejected
RVEA,3.764705882,0.000855102,0.002565306,Rejected
SMPSO,4.823529412,1.90E-06,7.62E-06,Rejected
MOPSOCD,4.882352941,1.28E-06,6.40E-06,Rejected
dMOPSO,6.117647059,7.52E-11,4.51E-10,Rejected
RL-MOPSO,1.294117647,,,Control
